VERMEG  ;V00     ;SODCI012;Pilote des investment-services                              ;00000000000000192082
VERMEG  ;V00     ;SODCI014;Pilote des ENDORSMENT                                       ;00000000000000035397
VERMEG  ;V00     ;SODCC041;Ecriture avenant migration                                  ;00000000000000032997
VERMEG  ;V00     ;SODCC042;Ecriture avenant                                            ;00000000000000002399
VERMEG  ;V00     ;SODCF061;avenant < date reprise                                      ;00000000000003756539
VERMEG  ;V00     ;SODCF090;PILOTE ENDORSEMENT avec PC-LIGHT                            ;00000000000000002278
VERMEG  ;V00     ;SODCF091;PILOTE ENDORSEMENT avec E-P-C                               ;00000000000000033119
VERMEG    ;V00       ;SODCI015  ;D:\MIGDATA\DEV\FICHIER\INTER\JFPEN900.FPENDORS-COVERAGE.TXT ;004011808
VERMEG  ;V00     ;SODCI016;Coverage Création avenant migration                         ;00000000000000032997
VERMEG  ;V00     ;SODCI017;COV avenant < date reprise                                  ;00000000000003756553
VERMEG  ;V00     ;SODCI021;Cov.Service avenant migration                               ;00000000000000006391
VERMEG  ;V00     ;SODCI022;Ecriture avenant coverage service                           ;00000000000000000398
VERMEG  ;V00     ;SODCI023;avenant cov. service < date reprise                         ;00000000000000856071
VERMEG  ;V00     ;SODCI027;Cov.Service avenant migration(2)                            ;00000000000000000001
VERMEG  ;V00     ;SODCI024;Inv.Service avenant migration                               ;00000000000000001176
VERMEG  ;V00     ;SODCI025;ecriture avenant Inv.Service                                ;00000000000000000683
VERMEG  ;V00     ;SODCI026;avenant Inv.Service < date reprise                          ;00000000000000191369
VERMEG  ;V00     ;SODCI028;Inv.Service avenant migration(2)                            ;00000000000000000001
VERMEG  ;V00     ;SODCI029;Pilote COVERAGE                                             ;00000000000000069274
VERMEG  ;V00     ;SODCI030;Pilote Coverage - Service                                   ;00000000000000006791
VERMEG  ;V00     ;SODCI031;Pilote Investment - Service                                 ;00000000000000001859
VERMEG  ;V00     ;SODCI018;EIS création avenant migration                              ;00000000000000032997
VERMEG  ;V00     ;SODCI019;EIS avenant < date reprise                                  ;00000000000000251624
VERMEG  ;V00     ;SODCI018;EIS création avenant migration                              ;00000000000000000183
VERMEG  ;V00     ;SODCI019;EIS avenant < date reprise                                  ;00000000000000000829
VERMEG  ;V00     ;SODCS007;Nb de contrats lus XPOLICY                                  ;00000000000000032998
VERMEG  ;V00     ;SODCR004;Clé XPOLICY-OID absente de XPRDCMPI                         ;00000000000000000000
VERMEG  ;V00     ;SODCS008;Nb d'enregistrements XGENCOV lus                            ;00000000000000107765
VERMEG  ;V00     ;SODCI040;Nb enregistrements Pilote POLICY avec CLAIM                 ;00000000000000000014
VERMEG  ;V00     ;SODCC044;Nb enregistrements Pilote POLICY                            ;00000000000000032998
VERMEG  ;V00     ;SODCF049;Policy sans CLAIM                                           ;00000000000000066737
VERMEG  ;V00     ;SODCF048;XGENCOV-OWNER-OID absent de FPPOLICY                        ;00000000000000041014
VERMEG    ;V00       ;SODCF064  ;D:\MIGDATA\DEV\FICHIER\INTER\JINCP100.FPENDORS.SANS-EC-OWNER-OID.TRI;000000000
VERMEG  ;V00     ;SODCF059;Paramètres pour le même OWNER-OID                           ;00000000000000001768
VERMEG  ;V00     ;SODCC027;Nombre enregistrements cible INVESTCP                       ;00000000000000032998
